run,method,dataset,scene,psnr,ssim,lpips,cuda_time_s,wall_time_s,fps,peak_device_mb,gaussians_m,path
R1,fastgs_base,Mip-NeRF 360,bicycle,24.816343307495117,0.7144729495048523,0.3098362386226654,214.13713472141586,267.0,573.5835105943507,8489.0,0.537255,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,flowers,21.176118850708008,0.5596380233764648,0.40684422850608826,210.61919807875495,260.0,579.9110272596163,8237.0,0.486137,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,garden,27.171194076538086,0.8353835940361023,0.17393209040164948,271.2216202513288,328.0,485.19203451238303,9737.0,0.737626,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,stump,26.65564727783203,0.7548389434814453,0.29832854866981506,181.0942843543595,217.0,613.4507688054958,6707.0,0.382311,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,treehill,22.922605514526367,0.612570583820343,0.4266967475414276,189.3687480268344,230.0,612.4262013884419,7985.0,0.394584,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,room,31.891918182373047,0.9199602007865906,0.2172662764787674,175.32776986666852,213.0,660.2627613832009,10997.0,0.207166,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,counter,29.15576171875,0.9070416688919067,0.2031906098127365,211.7284048909632,243.0,572.7415257998003,9637.0,0.207655,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,kitchen,31.779306411743164,0.9285762310028076,0.12662453949451447,280.5983476853979,319.0,478.71159262765445,12273.0,0.377701,<LOCAL_PATH>
R1,fastgs_base,Mip-NeRF 360,bonsai,32.20329666137695,0.9409722089767456,0.1903872936964035,207.1587452441422,244.0,609.097303818773,9721.0,0.276965,<LOCAL_PATH>
R1,fastgs_base,Tanks & Temples,truck,25.70443344116211,0.8724315166473389,0.1784796267747879,129.49041682465747,140.0,703.0112759707579,5019.0,0.253318,<LOCAL_PATH>
R1,fastgs_base,Tanks & Temples,train,22.332260131835938,0.8033003807067871,0.24289803206920624,134.31057055026594,145.0,620.6835016795856,5761.0,0.230106,<LOCAL_PATH>
